period_years,FEA,FEB,init_label,Satisf_prom_pct_mean,Satisf_prom_pct_std,Satisf_prom_pct_min,Satisf_prom_pct_max,Def_total_Hm3_mean,Def_total_Hm3_std,Def_total_Hm3_min,Def_total_Hm3_max,Def_modelo_Hm3_mean,Def_modelo_Hm3_std,Def_modelo_Hm3_min,Def_modelo_Hm3_max,Def_FE_Hm3_mean,Def_FE_Hm3_std,Def_FE_Hm3_min,Def_FE_Hm3_max,Rebalse_total_Hm3_mean,Rebalse_total_Hm3_std,Rebalse_total_Hm3_min,Rebalse_total_Hm3_max,Qturb_total_Hm3_mean,Qturb_total_Hm3_std,Qturb_total_Hm3_min,Qturb_total_Hm3_max,Qdis_prom_Hm3_mes_mean,Qdis_prom_Hm3_mes_std,Qdis_prom_Hm3_mes_min,Qdis_prom_Hm3_mes_max,VRFI_fin_Hm3_mean,VRFI_fin_Hm3_std,VRFI_fin_Hm3_min,VRFI_fin_Hm3_max,A_fin_Hm3_mean,A_fin_Hm3_std,A_fin_Hm3_min,A_fin_Hm3_max,B_fin_Hm3_mean,B_fin_Hm3_std,B_fin_Hm3_min,B_fin_Hm3_max,TOTAL_fin_Hm3_mean,TOTAL_fin_Hm3_std,TOTAL_fin_Hm3_min,TOTAL_fin_Hm3_max
5,0.5,0.5,0%,74.67172366904025,6.420588686373266,66.75491590939521,85.9128093934005,2884.106704080001,147.7532717804956,2625.42213865,3066.291594856037,582.8648865800006,147.75327178049548,324.18032115,765.0497773560372,2301.2418175,0.0,2301.2418175,2301.2418175,1592.5756287406612,1072.5894381622968,5.378540319999971,2572.40700685,3310.9525596606595,1172.506440090079,1541.570580463963,4549.468503199996,57.7071264,20.21867001730243,26.6219712,79.05625920000003,85.79749313833275,58.48460493150618,1.3,142.65481770000017,0.0,0.0,0.0,0.0,46.17753120102035,23.50813194251328,13.568732406122097,67.55104999999999,131.9750243393531,81.68638061641464,20.15214999999998,210.20586770000017
5,0.5,0.5,100%,77.58289958674261,7.639476308387365,67.08020408719608,87.59875134678238,2817.1135064808445,175.80282344661475,2586.6245374,3058.8059272810992,515.8716889808446,175.80282344661498,285.3827198999999,757.5641097810995,2301.2418175,0.0,2301.2418175,2301.2418175,2065.4657766839946,1028.808254425542,537.192946,3073.6094056,3850.8359052031483,1172.7177020963193,2080.870653718902,5089.468503199996,57.7071264,20.21867001730243,26.6219712,79.05625920000003,85.79749313833287,58.48460493150624,1.3,142.6548177000002,0.0,0.0,0.0,0.0,46.29418565851668,23.314896715234955,14.26865915110008,67.55104999999999,132.09167879684955,81.52266911480963,20.15214999999998,210.20586770000017
5,0.5,0.5,25%,76.49973069279542,7.016841496093927,67.08020408719653,87.59875134678238,2842.0398420225097,161.47449077580583,2586.6245374,3058.8059272810888,540.7980245225095,161.47449077580583,285.3827198999999,757.5641097810887,2301.2418175,0.0,2301.2418175,2301.2418175,1685.4921122256612,1047.94840539845,132.29294600000003,2668.7094056,3445.935905203151,1172.7177020963168,1675.9706537189115,4684.5685031999965,57.7071264,20.21867001730243,26.6219712,79.05625920000003,85.79749313833288,58.48460493150627,1.3,142.6548177000002,0.0,0.0,0.0,0.0,46.29418565852106,23.314896715227743,14.268659151126329,67.55104999999999,132.09167879685393,81.52266911480353,20.15214999999998,210.20586770000017
5,0.5,0.5,50%,77.3019092611796,7.417758480557864,67.08020408719983,87.59875134678238,2823.57977335583,170.70056007574993,2586.6245374,3058.805927281013,522.3379558558303,170.7005600757499,285.3827198999999,757.5641097810131,2301.2418175,0.0,2301.2418175,2301.2418175,1801.9320435589946,1034.309417045947,267.192946,2803.6094056,3580.8359052031633,1172.7177020962931,1810.870653718988,4819.468503199997,57.7071264,20.21867001730243,26.6219712,79.05625920000003,85.79749313833288,58.48460493150627,1.3,142.6548177000002,0.0,0.0,0.0,0.0,46.29418565852175,23.31489671522661,14.268659151130464,67.55104999999999,132.0916787968546,81.52266911480257,20.15214999999998,210.20586770000017
5,0.5,0.5,75%,77.58289958674273,7.6394763083871995,67.08020408719656,87.59875134678238,2817.113506480842,175.80282344661117,2586.6245374,3058.8059272810883,515.8716889808419,175.80282344661117,285.3827199,757.5641097810886,2301.2418175,0.0,2301.2418175,2301.2418175,1930.5657766839947,1028.8082544255421,402.292946,2938.7094056000005,3715.935905203151,1172.7177020963159,1945.970653718912,4954.5685031999965,57.7071264,20.21867001730243,26.6219712,79.05625920000003,85.79749313833285,58.484604931506254,1.3,142.6548177000002,0.0,0.0,0.0,0.0,46.29418565852108,23.31489671522772,14.268659151126414,67.55104999999999,132.0916787968539,81.5226691148035,20.15214999999998,210.20586770000017
5,0.6,0.6,0%,67.27249161356949,7.782142484488331,56.893310086352514,80.17230315185346,2744.7603845772283,214.90310058057483,2388.5333555800107,3031.3804633194904,903.7669305772292,214.90310058057483,547.5399015800119,1190.3870093194917,1840.9934539999988,0.0,1840.993453999999,1840.993453999999,1494.2704772507632,1027.2510596878335,4.7651003199999735,2388.186712679999,3351.993727673554,1170.8461977040922,1575.868272000508,4602.136992099987,57.7071264,20.21867001730243,26.6219712,79.05625920000003,55.80308385989485,45.1349163866435,0.975000000000003,104.97547280000012,0.0,0.0,0.0,0.0,35.13077246666672,26.8963576664865,0.0,60.06126,90.93385632656157,71.3513083203477,1.95,165.03673280000012
5,0.6,0.6,100%,69.97348474420795,8.990779990160533,57.377541636821526,81.04304384995385,2670.1727244851627,248.27950662359552,2364.487936699999,3018.0084565999846,829.1792704851638,248.27950662359555,523.4944826999999,1177.0150025999856,1840.9934539999988,0.0,1840.993453999999,1840.993453999999,1959.6828171586,970.4902069741187,531.3930935999999,2904.1412938000003,3891.9937276734368,1170.8461977042873,2115.868272000014,5142.136992100002,57.7071264,20.21867001730243,26.6219712,79.05625920000003,55.80308385989997,45.134916386643035,0.9750000000000004,104.97547280000012,0.0,0.0,0.0,0.0,35.13077246666671,26.8963576664865,0.0,60.06126,90.93385632656668,71.35130832034876,1.95,165.03673280000012
5,0.6,0.6,25%,68.69188751967305,8.140427894839812,57.377541636821526,81.04304384995385,2705.563906000663,224.79711700738596,2364.487936699999,3018.0084565999846,864.570452000664,224.79711700738596,523.4944826999999,1177.0150025999856,1840.9934539999988,0.0,1840.993453999999,1840.993453999999,1590.1739986741004,999.9680186055002,126.49309359999997,2499.2412938,3487.0937276734367,1170.8461977042873,1710.9682720000144,4737.236992100002,57.7071264,20.21867001730243,26.6219712,79.05625920000003,55.803083859900134,45.13491638664305,0.9750000000000004,104.97547280000012,0.0,0.0,0.0,0.0,35.13077246666671,26.8963576664865,0.0,60.06126,90.93385632656685,71.3513083203488,1.95,165.03673280000012
5,0.6,0.6,50%,69.5808826347167,8.629180915170506,57.377541636821526,81.04304384995385,2681.014393189163,238.29398367315912,2364.487936699999,3018.0084565999846,840.0209391891636,238.29398367315915,523.4944826999999,1177.0150025999856,1840.9934539999988,0.0,1840.993453999999,1840.993453999999,1700.5244858626,979.3315996746318,261.3930936,2634.1412938,3621.9937276734368,1170.8461977042873,1845.868272000014,4872.136992100002,57.7071264,20.21867001730243,26.6219712,79.05625920000003,55.80308385989997,45.134916386643035,0.9750000000000004,104.97547280000012,0.0,0.0,0.0,0.0,35.13077246666671,26.8963576664865,0.0,60.06126,90.93385632656668,71.35130832034875,1.95,165.03673280000012
5,0.6,0.6,75%,69.97348474420795,8.990779990160533,57.377541636821526,81.04304384995385,2670.1727244851627,248.27950662359552,2364.487936699999,3018.0084565999846,829.1792704851637,248.2795066235956,523.4944826999998,1177.0150025999856,1840.9934539999988,0.0,1840.993453999999,1840.993453999999,1824.7828171586,970.4902069741185,396.4930936,2769.2412938,3757.0937276734367,1170.8461977042873,1980.9682720000144,5007.236992100002,57.7071264,20.21867001730243,26.6219712,79.05625920000003,55.803083859899964,45.134916386643035,0.9750000000000004,104.97547280000012,0.0,0.0,0.0,0.0,35.13077246666671,26.8963576664865,0.0,60.06126,90.93385632656668,71.35130832034876,1.95,165.03673280000012
